"id","age","sex","marital","pd1","pd2","pd3","pd4","pd5","pd6","pd7","pd8","pd9","pd10","pd11","pd12","pd13","pd14","pd15","pd16","pd17","pd18","pd19","pd20","life.dis","daily.dis"
16822,71,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,2,4,4,0,13
16824,74,1,1,0,0,0,0,1,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,1,12
16825,60,2,3,0,0,0,1,0,0,0,1,0,0,0,4,4,4,4,4,4,4,4,4,2,9
16831,73,2,3,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,4,3,3,4,4,0,15
16833,74,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16836,86,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,4,4,3,3,0,12
16837,47,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16845,54,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,4,3,4,4,0,11
16849,70,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,0,11
16853,89,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,3,4,4,0,15
16856,48,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16858,54,1,1,0,0,0,0,0,0,0,3,0,0,0,4,4,4,3,4,4,3,4,4,1,11
16862,70,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,3,4,0,12
16864,65,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16872,74,2,4,1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1,9
16873,57,2,1,0,0,0,1,0,0,0,0,0,0,0,3,3,2,2,3,3,3,4,4,1,18
16875,61,2,4,0,0,6,0,0,0,0,0,0,1,2,3,2,3,1,4,3,2,4,4,3,19
16881,80,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,3,4,3,1,17
16883,73,1,1,0,0,3,0,1,0,0,0,NA,0,NA,3,3,3,4,4,4,4,4,4,2,12
16885,87,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,2,3,3,4,4,0,14
16888,74,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16891,74,2,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16892,59,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16896,47,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16897,43,1,1,0,0,0,2,0,0,0,3,0,0,0,3,3,3,3,3,2,3,3,3,2,19
16899,56,2,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16900,79,2,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16902,56,1,1,0,0,4,6,0,0,0,0,0,0,0,3,3,3,3,3,3,3,4,4,2,16
